stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\Asus\OneDrive - 清華大學\桌面\Coding\C_C++\I2P_2\mini project 2\TowerDefenseGame\bin\Debug\allegro5.cfg r
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
audio-dsound I           dsound.cpp:249  _dsound_open                     [   0.00034] Starting DirectSound...
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.05786] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.06100] Using DirectSound driver
audio-dsound D           dsound.cpp:290  _dsound_allocate_voice           [   0.06105] Allocating voice
audio-dsound D           dsound.cpp:349  _dsound_allocate_voice           [   0.06107] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.06108] added dtor for voice 02C8BB68, func 61DC5398
dtor     D               dtor.c:196  _al_register_destructor          [   0.06109] added dtor for mixer 02C8BBF8, func 61DC1429
audio-dsound D           dsound.cpp:446  _dsound_start_voice              [   0.06110] Starting voice
audio-dsound D           dsound.cpp:474  _dsound_start_voice              [   0.06110] CreateSoundBuffer
audio-dsound D           dsound.cpp:483  _dsound_start_voice              [   0.06421] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:489  _dsound_start_voice              [   0.06424] Starting _dsound_update thread
audio-dsound I           dsound.cpp:499  _dsound_start_voice              [   0.06435] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.06437] added dtor for sample_instance 02C8BFB0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06440] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06441] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06442] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06444] added dtor for sample_instance 02C8C4A8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06445] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06445] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06446] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06446] added dtor for sample_instance 02C8C7B8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06447] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06449] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06449] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06450] added dtor for sample_instance 02C8C8A8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06451] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06452] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06453] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06454] added dtor for sample_instance 02C8BD90, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06472] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06473] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06474] 
